STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
OKLAHOMA,AG4_45_64,944,892,553,58.6,62.0
OKLAHOMA,AG5_65+,597,593,419,70.2,70.7
OREGON,TOTAL,"3,185","2,929","1,942",61.0,66.3
OREGON,AG1_18_24,345,320,156,45.2,48.8
OREGON,AG2_25_34,577,504,275,47.6,54.6
OREGON,AG3_35_44,521,442,320,61.4,72.3
OREGON,AG4_45_64,"1,044",977,679,65.1,69.5
OREGON,AG5_65+,698,685,512,73.4,74.7
PENNSYLVANIA,TOTAL,"9,980","9,596","6,008",60.2,62.6
PENNSYLVANIA,AG1_18_24,"1,193","1,130",581,48.7,51.4
PENNSYLVANIA,AG2_25_34,"1,649","1,525",837,50.8,54.9
PENNSYLVANIA,AG3_35_44,"1,425","1,351",865,60.7,64.1
PENNSYLVANIA,AG4_45_64,"3,471","3,382","2,294",66.1,67.8
PENNSYLVANIA,AG5_65+,"2,243","2,208","1,431",63.8,64.8
RHODE ISLAND,TOTAL,836,766,464,55.5,60.6
RHODE ISLAND,AG1_18_24,81,69,34,(B),(B)
RHODE ISLAND,AG2_25_34,148,137,74,49.7,53.6
RHODE ISLAND,AG3_35_44,145,125,78,53.4,62.2
RHODE ISLAND,AG4_45_64,284,263,169,59.5,64.2
RHODE ISLAND,AG5_65+,178,172,111,62.4,64.4
SOUTH CAROLINA,TOTAL,"3,733","3,598","2,233",59.8,62.1
SOUTH CAROLINA,AG1_18_24,341,332,146,42.7,43.9
SOUTH CAROLINA,AG2_25_34,635,585,288,45.4,49.3
SOUTH CAROLINA,AG3_35_44,642,587,346,53.9,58.9
SOUTH CAROLINA,AG4_45_64,"1,301","1,281",860,66.1,67.1
SOUTH CAROLINA,AG5_65+,815,812,594,72.9,73.1
SOUTH DAKOTA,TOTAL,631,612,362,57.3,59.1
SOUTH DAKOTA,AG1_18_24,84,81,26,(B),(B)
SOUTH DAKOTA,AG2_25_34,103,98,50,(B),(B)
SOUTH DAKOTA,AG3_35_44,94,90,52,(B),(B)
SOUTH DAKOTA,AG4_45_64,230,224,147,63.7,65.4
SOUTH DAKOTA,AG5_65+,119,119,88,73.9,73.9
TENNESSEE,TOTAL,"5,057","4,872","2,630",52.0,54.0
TENNESSEE,AG1_18_24,523,503,156,29.9,31.1
TENNESSEE,AG2_25_34,971,903,379,39.1,42.0
TENNESSEE,AG3_35_44,777,741,411,52.9,55.5
TENNESSEE,AG4_45_64,"1,720","1,674","1,008",58.6,60.2
TENNESSEE,AG5_65+,"1,065","1,052",676,63.4,64.2
TEXAS,TOTAL,"20,172","17,378","9,626",47.7,55.4
TEXAS,AG1_18_24,"2,542","2,175",694,27.3,31.9
TEXAS,AG2_25_34,"3,950","3,186","1,483",37.5,46.5
TEXAS,AG3_35_44,"3,764","3,008","1,617",42.9,53.7
TEXAS,AG4_45_64,"6,450","5,743","3,579",55.5,62.3
TEXAS,AG5_65+,"3,465","3,265","2,254",65.0,69.0
UTAH,TOTAL,"2,096","1,969","1,234",58.9,62.7
UTAH,AG1_18_24,342,326,142,41.6,43.6
UTAH,AG2_25_34,416,388,201,48.3,51.8
UTAH,AG3_35_44,416,373,243,58.5,65.2
UTAH,AG4_45_64,586,549,393,67.0,71.5
UTAH,AG5_65+,336,333,255,75.8,76.6
VERMONT,TOTAL,500,488,305,61.0,62.5
VERMONT,AG1_18_24,57,55,26,(B),(B)
VERMONT,AG2_25_34,77,75,35,(B),(B)
VERMONT,AG3_35_44,72,70,42,(B),(B)
VERMONT,AG4_45_64,181,177,118,65.0,66.5
VERMONT,AG5_65+,112,111,85,75.9,77.1
VIRGINIA,TOTAL,"6,343","5,829","3,973",62.6,68.2
VIRGINIA,AG1_18_24,819,737,447,54.6,60.7
VIRGINIA,AG2_25_34,"1,118",993,549,49.1,55.3
VIRGINIA,AG3_35_44,982,833,573,58.3,68.8
VIRGINIA,AG4_45_64,"2,144","2,023","1,500",70.0,74.2
VIRGINIA,AG5_65+,"1,279","1,244",903,70.6,72.6
WASHINGTON,TOTAL,"5,592","5,104","3,382",60.5,66.3
WASHINGTON,AG1_18_24,646,594,273,42.2,45.9
WASHINGTON,AG2_25_34,987,848,460,46.5,54.2
WASHINGTON,AG3_35_44,"1,014",876,564,55.6,64.4
WASHINGTON,AG4_45_64,"1,986","1,859","1,366",68.8,73.5
WASHINGTON,AG5_65+,958,927,720,75.1,77.6
WEST VIRGINIA,TOTAL,"1,434","1,425",723,50.4,50.8
WEST VIRGINIA,AG1_18_24,155,153,50,32.2,32.5
WEST VIRGINIA,AG2_25_34,226,225,98,43.5,43.8
WEST VIRGINIA,AG3_35_44,206,204,96,46.6,47.2
WEST VIRGINIA,AG4_45_64,513,509,268,52.2,52.6
WEST VIRGINIA,AG5_65+,334,334,211,63.1,63.3
WISCONSIN,TOTAL,"4,465","4,354","3,068",68.7,70.5
WISCONSIN,AG1_18_24,547,530,249,45.6,47.1
WISCONSIN,AG2_25_34,704,678,370,52.6,54.6
WISCONSIN,AG3_35_44,724,701,527,72.7,75.2
WISCONSIN,AG4_45_64,"1,520","1,479","1,169",76.9,79.0
WISCONSIN,AG5_65+,970,966,753,77.6,77.9
WYOMING,TOTAL,436,427,277,63.5,64.8
WYOMING,AG1_18_24,57,55,30,(B),(B)
WYOMING,AG2_25_34,75,73,42,(B),(B)
WYOMING,AG3_35_44,70,68,40,(B),(B)
WYOMING,AG4_45_64,151,148,102,67.4,68.6
WYOMING,AG5_65+,83,83,63,(B),(B)
